ID,name,smiles,lgK,delta,ref_num,doi
30,P730,O=C(O)CCC(C(=O)O)N1CCN(C(CCC(=O)O)C(=O)O)CCN(C(CCC(=O)O)C(=O)O)CCN(C(CCC(=O)O)C(=O)O)CC1,24.03,0.06,31,10.1002/ejic.200300085
31,DOTA-PA,CCCNC(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1,20.1,,32,10.1021/ic00302a049
32,AP-DO3A,CNCC(=O)N1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1,21.54,,0,10.1021/ci500346w
33,HE-DO3A,O=C(O)CN1CCN(CCO)CCN(CC(=O)O)CCN(CC(=O)O)CC1,22.3,0.2,33,10.1021/ic00095a028
34,rac-HP-DO3A,CC(O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1,23.8,1,22,10.1021/ic00094a021
34,rac-HP-DO3A,CC(O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1,24.5,0.1,34,10.1039/a909098c
35,rac-HIP-DO3A,CC(CO)N1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1,23.9,0.1,33,10.1021/ic00095a028
36,rac-trans-DO3A-Bu,O=C(O)CN1CCN(CC(=O)O)CCN(C(CO)C(O)CO)CCN(CC(=O)O)CC1,18.7,0.02,35,10.1016/0020-1693(96)05094-3
36,rac-trans-DO3A-Bu,O=C(O)CN1CCN(CC(=O)O)CCN(C(CO)C(O)CO)CCN(CC(=O)O)CC1,20.8,0.04,35,10.1016/0020-1693(96)05094-3
36,rac-trans-DO3A-Bu,O=C(O)CN1CCN(CC(=O)O)CCN(C(CO)C(O)CO)CCN(CC(=O)O)CC1,21.8,,35,10.1016/0020-1693(96)05094-3
37,HPDO3A-3HM,CC(O)CN1CCN(C(CO)C(=O)O)CCN(C(CO)C(=O)O)CCN(C(CO)C(=O)O)CC1,19.4,0.1,34,10.1039/a909098c
38,HPDO3A-3BHM,CC(O)CN1CCN(C(COCc2ccccc2)C(=O)O)CCN(C(COCc2ccccc2)C(=O)O)CCN(C(COCc2ccccc2)C(=O)O)CC1,18.37,0.05,29,10.1016/s0010-8545(99)00237-4
39,ODOTRA,O=C(O)CN1CCOCCN(CC(=O)O)CCN(CC(=O)O)CC1,21.6,0.1,8,10.1021/ic00067a022
40,DO3A,O=C(O)CN1CCNCCN(CC(=O)O)CCN(CC(=O)O)CC1,21,1,22,10.1021/ic00094a021
40,DO3A,O=C(O)CN1CCNCCN(CC(=O)O)CCN(CC(=O)O)CC1,22.02,0.02,20,10.1351/pac200577081445
40,DO3A,O=C(O)CN1CCNCCN(CC(=O)O)CCN(CC(=O)O)CC1,22.02,0.02,34,10.1016/0020-1693(96)05094-3
41,DO3A-3HM,O=C(O)C(CO)N1CCNCCN(C(CO)C(=O)O)CCN(C(CO)C(=O)O)CC1,18.82,0.09,34,10.1039/a909098c
42,DO3A-3BHM,O=C(O)C(COCc1ccccc1)N1CCNCCN(C(COCc2ccccc2)C(=O)O)CCN(C(COCc2ccccc2)C(=O)O)CC1,18.21,0.03,29,10.1016/s0010-8545(99)00237-4
43,DO2A-2HE,O=C(O)CN1CCN(CCO)CCN(CC(=O)O)CCN(CCO)CC1,21.1,0.1,36,10.1021/ic961131x
44,"(S,S)-DO2A-2HP",CC(O)CN1CCN(CC(=O)O)CCN(CC(C)O)CCN(CC(=O)O)CC1,22.5,0.1,36,10.1021/ic961131x
45,DOTAM,NC(=O)CN1CCN(CC(N)=O)CCN(CC(N)=O)CCN(CC(N)=O)CC1,10.05,0.03,37,10.1021/ja00130a008
45,DOTAM,NC(=O)CN1CCN(CC(N)=O)CCN(CC(N)=O)CCN(CC(N)=O)CC1,13.12,0.04,38,10.1002/ejic.200700354
46,"DTMA, DOTA-(MeAm)4",CNC(=O)CN1CCN(CC(=O)NC)CCN(CC(=O)NC)CCN(CC(=O)NC)CC1,12.8,0.1,34,10.1039/a909098c
46,"DTMA, DOTA-(MeAm)4",CNC(=O)CN1CCN(CC(=O)NC)CCN(CC(=O)NC)CCN(CC(=O)NC)CC1,13.54,0.04,38,10.1002/ejic.200700354
47,DOTA-(EtAm)4,CCNC(=O)CN1CCN(CC(=O)NCC)CCN(CC(=O)NCC)CCN(CC(=O)NCC)CC1,14.83,0.25,38,10.1002/ejic.200700354
