ID,sourceID,smiles,doi,source,lgK
rev_203,B33,CC(O)CN1CCN(CC(C)O)CCN(C(CO)C(=O)O)CCN(CC(C)O)CC1,10.1039/a909098c,uzal2022,19.4
rev_174,A48,O=C(O)CNCCNCC(=O)O,10.1016/0048-9697(87)90127-6,uzal2022,8.1
rev_154,154,CN(CCN1CCOCC1)C(=O)CN(CCN(CCN(CC(=O)O)CC(=O)N(C)CCN1CCOCC1)CC(=O)O)CC(=O)O,10.1097/00004424-199111001-00074,dioury2014,20.3
rev_098,98,Cc1ccc(O)c(CN(CCN(CCN(CC(=O)O)Cc2nc(C)ccc2O)CC(=O)O)CC(=O)O)n1,10.1016/0730-725x(92)90444-5,dioury2014,23.65
rev_009,9,O=C(O)CN1CCN(CC(=O)O)CC(=O)NCCCCCNC(=O)CN(CC(=O)O)CC1,10.1021/ic00046a015,dioury2014,15.94
rev_020,20,O=C(O)CN1CCCN(CC(=O)O)CCN(CC(=O)O)CCCN(CC(=O)O)CC1,10.1021/ic00006a021,dioury2014,14.73
rev_111,A40,O=C(O)CN(CCOCCOCCN(CC(=O)O)CC(=O)O)CC(=O)O,10.1021/ic5020225,uzal2022,17.66
rev_031,31,CCCNC(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1,10.1021/ic00302a049,dioury2014,20.1
rev_149,149,O=C(O)CN(CCCN(CCN(CC(=O)O)CC(=O)O)Cc1ccccn1)CC(=O)O,10.1039/b107456n,dioury2014,23.48
rev_188,A70,O=C(O)CN(CC(=O)O)[C@@H]1CC[C@H]1N(CC(=O)O)Cc1cccc(C(=O)O)n1,10.1016/S0020-1693(00)81210-4,uzal2022,17.41
rev_057,57,O=C(O)CN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,10.1016/s0010-8545(00)80110-1,dioury2014,20.41
rev_221,T6,O=C(O)c1cccc(CN(Cc2cccc(C(=O)O)n2)Cc2cccc(C(=O)O)n2)n1,10.1016/j.ccr.2022.214606,uzal2022,17.77
rev_140,B28,O=C(O)c1cccc(CN2CCNCCN(Cc3cccc(C(=O)O)n3)CCNCC2)n1,10.1039/C4DT02985B,uzal2022,17.27
rev_001,1,O=C(O)CN1CCCN(CC(=O)O)Cc2cccc(n2)CN(CC(=O)O)CCC1,10.1002/ejoc.200400264,dioury2014,9.34
rev_195,B13,CCCCOP(=O)(O)CN1CCN(CP(=O)(O)OCCCC)CCN(CP(=O)(O)OCCCC)CCN(CP(=O)(O)OCCCC)CC1,10.1002/1099-0682(200103)2001:3<813::aid-ejic813>3.0.co;2-6,uzal2022,12.19
rev_199,B23,O=C(O)CN1CCN(CC(=O)O)CCN(CP(=O)(O)CN(Cc2ccccc2)Cc2ccccc2)CCN(CC(=O)O)CC1,10.1021/acs.inorgchem.9b00267,uzal2022,23.77
rev_183,A65,O=C(O)CN(CCO)CC(=O)O,10.1021/ic50007a042,uzal2022,9.01
rev_039,39,O=C(O)CN1CCOCCN(CC(=O)O)CCN(CC(=O)O)CC1,10.1021/ic00067a022,dioury2014,21.6
rev_093,93,COCCN(C)C(=O)CN(CCN(CCN(CC(=O)O)CC(=O)N(C)CCOC)CC(=O)O)CC(=O)O,10.1016/s0020-1693(96)05522-3,dioury2014,17.69
rev_172,A45,CC(C)(C)NC(=O)CN(CCN(CC(=O)O)CC(=O)NC(C)(C)C)CC(=O)O,10.1016/S0277-5387(98)00273-3,uzal2022,12.76
rev_008,8,O=C(O)CN1CCN(CC(=O)O)CC(=O)NCc2ccc(cc2)CNC(=O)CN(CC(=O)O)CC1,10.1021/ic00046a015,dioury2014,12.34
rev_224,T9,O=P(O)(O)CN1CCNCCNCCN(CP(=O)(O)O)CC1,10.3390/molecules24183324,uzal2022,19.15
rev_118,118,O=C(O)CN(CCN(CC(=O)O)Cc1ccccn1)CC(=O)O,10.1515/znc-1997-7-814,dioury2014,15.56
rev_194,B12,CCOP(=O)(O)CN1CCN(CP(=O)(O)OCC)CCN(CP(=O)(O)OCC)CCN(CP(=O)(O)OCC)CC1,10.1002/ejic.200800859,uzal2022,14.4
rev_075,75,O=C(O)CN(CCN(CCN(CC(=O)O)CC(=O)O)c1ccccc1)CC(=O)O,10.1021/ic00212a005,dioury2014,15.42
rev_146,146,O=C(O)CCN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,10.1007/bf00759053,dioury2014,16.71
rev_151,151,CCCCCCCNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NCCCCCCC)CC(=O)O)CC(=O)O,10.1097/00004424-199009001-00026,dioury2014,15.62
rev_181,A63,O=C(O)CNCC(=O)O,10.1021/ic50003a009,uzal2022,6.68
rev_085,85,CC(C)(C)NC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NC(C)(C)C)CC(=O)O)CC(=O)O,10.1039/a605483h,dioury2014,17.15
rev_137,137,O=C(O)CN1CCN(CC(=O)O)CCN(C(COCc2ccccc2)C(=O)NC(CO)CO)CCN(CC(=O)O)CC1,10.1021/ic00038a023,dioury2014,25.9
rev_218,T3,O=C(O)CN(CC(=O)O)[C@@H]1CCCC[C@H]1N(CC(=O)O)Cc1ccccn1,10.1016/j.ccr.2022.214606,uzal2022,14.47
rev_006,6,O=C(O)CN1CCNCCN(CC(=O)O)Cc2cccc(n2)C1,10.1021/ic00112a040,dioury2014,16.6
rev_044,44,CC(O)CN1CCN(CC(=O)O)CCN(CC(C)O)CCN(CC(=O)O)CC1,10.1021/ic961131x,dioury2014,22.5
rev_210,C5,O=C(O)c1cccc(CN2CCN(Cc3cccc(C(=O)O)n3)CCN(CP(=O)(O)O)CC2)n1,10.1039/b907738c,uzal2022,19.5
